date,na,open,high,low,close,volume
2016.06.09,0:00,1.05432,1.05757,1.04075,1.04533,113727
2016.06.10,0:00,1.04545,1.04755,1.04136,1.04477,84619
2016.06.13,0:00,1.04449,1.04923,1.04385,1.04572,85413
2016.06.14,0:00,1.04557,1.05289,1.04557,1.05148,93376
2016.06.15,0:00,1.05158,1.05461,1.04877,1.0525,102475
2016.06.16,0:00,1.05278,1.05302,1.04153,1.04487,116223
2016.06.17,0:00,1.04451,1.04923,1.04384,1.04594,84680
2016.06.20,0:00,1.04899,1.05049,1.0454,1.04572,77987
2016.06.21,0:00,1.04572,1.05153,1.04472,1.04571,74738
2016.06.22,0:00,1.04546,1.04776,1.04417,1.04532,74004
2016.06.23,0:00,1.04512,1.0502,1.04419,1.04808,104782
2016.06.24,0:00,1.04771,1.05323,1.04191,1.04601,304852
2016.06.27,0:00,1.04659,1.05091,1.04463,1.04689,145403
2016.06.28,0:00,1.04618,1.04963,1.04477,1.04667,99912
2016.06.29,0:00,1.04642,1.04825,1.0432,1.04658,99911
2016.06.30,0:00,1.04617,1.0499,1.04324,1.04331,121041
2016.07.01,0:00,1.04289,1.04672,1.04078,1.04348,82011
2016.07.04,0:00,1.03897,1.04623,1.03749,1.0419,69133
2016.07.05,0:00,1.04103,1.04605,1.04012,1.04238,94292
2016.07.06,0:00,1.0407,1.05454,1.0407,1.05338,123376
2016.07.07,0:00,1.05306,1.05478,1.03377,1.03397,110703
2016.07.08,0:00,1.03365,1.03776,1.03117,1.03405,96453
2016.07.11,0:00,1.03503,1.04383,1.03463,1.04278,82256
2016.07.12,0:00,1.04224,1.04707,1.0406,1.04349,93873
2016.07.13,0:00,1.0419,1.04839,1.04155,1.04499,97317
2016.07.14,0:00,1.04493,1.06275,1.04274,1.05945,104854
2016.07.15,0:00,1.05829,1.07006,1.05829,1.06273,108181
2016.07.18,0:00,1.06178,1.07399,1.06079,1.06585,73808
2016.07.19,0:00,1.06567,1.07695,1.06271,1.06352,93875
2016.07.20,0:00,1.06187,1.06761,1.06094,1.06333,72869
2016.07.21,0:00,1.06725,1.07533,1.06233,1.07055,106751
2016.07.22,0:00,1.07002,1.07261,1.06445,1.06445,64724
2016.07.25,0:00,1.06538,1.07261,1.0642,1.06726,57488
2016.07.26,0:00,1.06576,1.0697,1.06253,1.06302,75005
2016.07.27,0:00,1.06247,1.07224,1.0557,1.05812,101161
2016.07.28,0:00,1.0578,1.0634,1.0567,1.06031,66952
2016.07.29,0:00,1.05885,1.06259,1.05179,1.05235,89516
2016.08.01,0:00,1.05222,1.05566,1.04999,1.05013,59686
2016.08.02,0:00,1.04906,1.05392,1.04319,1.04988,89061
2016.08.03,0:00,1.04891,1.06174,1.04882,1.05954,68541
2016.08.04,0:00,1.05884,1.06341,1.05856,1.06278,70072
2016.08.05,0:00,1.06203,1.06782,1.05967,1.06588,70018
2016.08.08,0:00,1.06566,1.07416,1.06461,1.07135,57268
2016.08.09,0:00,1.06964,1.07427,1.0681,1.07019,61674
2016.08.10,0:00,1.06858,1.07068,1.06575,1.06799,84604
2016.08.11,0:00,1.06755,1.06962,1.04872,1.06752,76328
2016.08.12,0:00,1.06705,1.06977,1.06111,1.06111,72704
2016.08.15,0:00,1.06367,1.06733,1.06251,1.06399,55879
2016.08.16,0:00,1.06313,1.06511,1.05654,1.05654,97543
2016.08.17,0:00,1.05551,1.05805,1.05067,1.05475,94632
2016.08.18,0:00,1.05458,1.05775,1.05069,1.05421,91283
2016.08.19,0:00,1.05201,1.05491,1.0467,1.04672,63421
2016.08.22,0:00,1.04665,1.05265,1.04635,1.04849,69316
2016.08.23,0:00,1.04652,1.04876,1.04092,1.04415,74071
2016.08.24,0:00,1.04275,1.04672,1.04007,1.04085,71532
2016.08.25,0:00,1.03992,1.04349,1.03922,1.04298,50099
2016.08.26,0:00,1.04107,1.04654,1.04062,1.04301,94172
2016.08.29,0:00,1.04378,1.0456,1.04198,1.04325,73630
2016.08.30,0:00,1.04161,1.04527,1.03884,1.0397,66011
2016.08.31,0:00,1.03931,1.04041,1.03489,1.03646,73659
2016.09.01,0:00,1.03505,1.03991,1.0345,1.03662,80174
2016.09.02,0:00,1.03512,1.03807,1.03215,1.03691,96211
2016.09.05,0:00,1.03773,1.03916,1.03539,1.03728,56179
2016.09.06,0:00,1.03592,1.04329,1.0344,1.0358,83096
2016.09.07,0:00,1.03519,1.03702,1.02627,1.02937,79991
2016.09.08,0:00,1.02785,1.03688,1.02718,1.03263,90738
2016.09.09,0:00,1.03162,1.03473,1.02769,1.0288,79382
2016.09.12,0:00,1.02858,1.03027,1.02668,1.02846,90926
2016.09.13,0:00,1.02778,1.03093,1.02546,1.02835,100171
2016.09.14,0:00,1.02834,1.03142,1.02359,1.02488,87670
